Date,Forecast
201408,2.73
201409,3.78
201410,3.66
201411,2.42
201412,1.89
201501,1.96
201502,2.07
201503,2.02
201504,2.66
201505,4.2
201506,3.75
201507,2.56
201508,2.74
201509,3.79
201510,3.67
201511,2.43
201512,1.9
201601,1.97
201602,2.08
201603,2.03
201604,2.67
201605,4.21
201606,3.76
201607,2.57
